Date et heure,Nom du joueur,Avion,Temps,Temps (s),Temps intermédiaire1 (s),Temps intermédiaire2 (s),Temps intermédiaire3 (s),Temps intermédiaire4 (s),Temps intermédiaire5 (s)
2023-03-23T20:33:20.000Z,Asta☠,F-16C_50,04 min 25.630,265.63,27.36,110.88,147.09,202.9,231.63
2023-03-23T20:50:32.000Z,Asta☠,F-16C_50,04 min 26.090,266.09,28,111.54,148.25,202.2,230.79
2023-03-23T20:57:05.000Z,Asta☠,F-16C_50,04 min 19.570,259.57,27.99,109.74,145.31,198.95,226.01
2023-03-25T13:39:19.000Z,Asta☠,F-16C_50,04 min 08.260,248.26,27.7,111.63,144.32,191.18,216.24
2023-03-25T13:47:17.000Z,Asta☠,F-16C_50,03 min 58.160,238.16,27.62,99.55,138,183.72,207.25
2023-03-25T13:51:54.000Z,Asta☠,F-16C_50,03 min 59.090,239.09,27.91,100.29,139.48,184.8,208.1
2023-03-25T18:23:01.000Z,Asta☠,F-16C_50,03 min 52.750,232.75,27.32,97.67,133.57,178.96,201.96
2023-03-25T20:48:12.000Z,Clara 1-1 | Psycho,FA-18C_hornet,05 min 07.450,307.45,28.88,112.93,160.91,234.1,266.72
2023-03-25T20:54:53.000Z,Clara 1-1 | Psycho,FA-18C_hornet,04 min 19.030,259.03,28.55,102.67,143.19,199.75,226.5
2023-03-26T00:14:50.000Z,Asta☠,F-16C_50,03 min 51.380,231.38,27.67,97.82,132.9,178.04,201.03
2023-03-26T10:20:37.000Z,Clara 1-1 | Psycho,FA-18C_hornet,04 min 15.160,255.16,27.01,99.2,139.44,197.3,224.98
2023-03-29T21:38:30.000Z,OuiOui 1-1 | Willy,FA-18C_hornet,05 min 08.080,308.08,31.21,111.3,162.83,230.91,265.19
2023-03-29T22:15:41.000Z,OuiOui 1-1 | Willy,FA-18C_hornet,04 min 57.200,297.2,27.65,109.47,155.42,218.2,250.28
2023-03-29T22:23:10.000Z,OuiOui 1-1 | Willy,FA-18C_hornet,04 min 50.480,290.48,29.31,106.7,147.98,212.45,243.64
2023-03-29T22:35:49.000Z,OuiOui 1-1 | Willy,FA-18C_hornet,04 min 25.280,265.28,26.1,97.73,139.64,198.16,227.03
2023-04-09T11:12:18.000Z,Reaper 1-6 | Pouga,F-16C_50,04 min 28.280,268.28,27.7,107.58,145.03,205.7,234.33
2023-04-09T11:39:46.000Z,Reaper 1-6 | Pouga,F-16C_50,04 min 35.120,275.12,27.89,116.5,153.09,213.68,242.3
2023-04-09T11:46:04.000Z,Reaper 1-6 | Pouga,F-16C_50,04 min 34.880,274.88,27.83,115.8,153.49,213.68,242.1
2023-04-09T13:44:18.000Z,Asta☠,F-16C_50,04 min 03.700,243.7,27.29,97.75,134.69,183.94,208.96
2023-04-09T13:55:43.000Z,Asta☠,F-16C_50,03 min 52.590,232.59,27.49,97.85,130.72,176.36,200.8
2023-04-09T18:20:10.000Z,Reaper 1-6 | Pouga,F-16C_50,04 min 27.560,267.56,27.66,112.64,147.9,206.53,234.84
2023-04-30T19:45:20.000Z,Mr.Yo,FA-18C_hornet,04 min 47.740,287.74,28.93,112.01,157.58,226.08,253.65
2023-05-02T20:38:44.000Z,Asta☠,F-16C_50,04 min 01.390,241.39,28.12,101.06,135.74,183.32,206.64
2023-05-02T20:56:39.000Z,Asta☠,F-16C_50,03 min 55.840,235.84,27.34,98.01,132.49,179,203.82
2023-05-02T21:01:34.000Z,Asta☠,F-14B,04 min 00.510,240.51,27.78,95.78,134.99,185.64,210.98
2023-05-03T20:58:56.000Z,CoubyStark,F-16C_50,04 min 03.290,243.29,26.43,95.17,130.33,184.18,210.54
2023-05-05T16:57:05.000Z,Asta☠,F-16C_50,03 min 49.380,229.38,27.3,97.18,129.13,174.08,197.99
2023-05-05T17:10:11.000Z,Asta☠,F-16C_50,03 min 48.560,228.56,27.4,97.05,129.43,174.69,198.05
2023-05-05T22:48:30.000Z,Asta☠,FA-18C_hornet,03 min 58.530,238.53,26.7,95.54,133.74,183.74,209.13
2023-05-07T17:49:29.000Z,CoubyStark,JF-17,04 min 45.380,285.38,31.34,115.61,155.52,216.65,247.5
2023-05-10T20:52:37.000Z,CoubyStark,F-16C_50,03 min 53.580,233.58,28.23,97.13,129.82,178.36,202.21
2023-05-14T13:35:11.000Z,Asta☠,JF-17,04 min 38.910,278.91,31.19,114.08,155.19,213.29,241.72